play_code,Play,First_Folio_category
AWW,All's Well That Ends Well,Comedy
Ant,Antony and Cleopatra,Tragedy
AYL,As You Like It,Comedy
Err,The Comedy of Errors,Comedy
Cor,Coriolanus,Tragedy
Cym,Cymbeline,Tragedy
Ham,Hamlet,Tragedy
1H4,"Henry IV, Part 1",History
2H4,"Henry IV, Part 2",History
H5,Henry V,History
1H6,"Henry VI, Part 1",History
2H6,"Henry VI, Part 2",History
3H6,"Henry VI, Part 3",History
H8,Henry VIII,History
JC,Julius Caesar,Tragedy
Jn,King John,History
Lr,King Lear,Tragedy
LLL,Love's Labor's Lost,Comedy
Mac,Macbeth,Tragedy
MM,Measure for Measure,Comedy
MV,The Merchant of Venice,Comedy
Wiv,The Merry Wives of Windsor,Comedy
MND,A Midsummer Night's Dream,Comedy
Ado,Much Ado About Nothing,Comedy
Oth,Othello,Tragedy
Per,Pericles,Tragedy
R2,Richard II,History
R3,Richard III,History
Rom,Romeo and Juliet,Tragedy
Shr,The Taming of the Shrew,Comedy
Tmp,The Tempest,Comedy
Tim,Timon of Athens,Tragedy
Tit,Titus Andronicus,Tragedy
Tro,Troilus and Cressida,Tragedy
TN,Twelfth Night,Comedy
TGV,Two Gentlemen of Verona,Comedy
TNK,Two Noble Kinsmen,Comedy
WT,The Winter's Tale,Comedy
